iter	Passed	Remaining
608	104673	67203
609	104905	67070
610	105150	66945
611	105367	66801
612	105576	66652
613	105838	66537
614	106054	66391
615	106274	66248
616	106501	66110
617	106712	65961
618	106922	65811
619	107153	65674
620	107386	65538
621	107604	65392
622	107835	65254
623	108080	65125
624	108383	65030
625	108608	64887
626	108794	64721
627	109033	64586
628	109269	64449
629	109483	64300
630	109698	64150
631	109894	63989
632	110113	63841
633	110336	63696
634	110577	63560
635	110796	63411
636	111023	63267
637	111229	63111
638	111470	62974
639	111702	62832
640	111921	62682
641	112129	62527
642	112370	62389
643	112597	62243
644	112801	62084
645	113032	61940
646	113243	61785
647	113464	61635
648	113696	61490
649	113915	61339
650	114106	61172
651	114319	61017
652	114549	60870
653	114738	60702
654	114975	60559
655	115193	60406
656	115413	60254
657	116884	60751
658	117265	60679
659	117484	60522
660	117693	60360
661	117903	60198
662	118132	60046
663	118497	59962
664	118736	59814
665	119074	59715
666	119318	59570
667	119565	59424
668	119804	59275
669	120061	59134
670	120279	58974
671	120481	58806
672	120702	58647
673	120919	58486
674	121174	58343
675	121411	58191
676	121648	58039
677	121899	57893
678	122159	57751
679	122367	57584
680	122604	57431
681	122824	57269
682	123030	57101
683	123219	56926
684	123468	56777
685	123686	56614
686	123890	56445
687	124097	56276
688	124315	56113
689	124537	55951
690	124760	55790
691	124975	55625
692	125170	55450
693	125402	55292
694	125620	55128
695	125838	54963
696	126049	54796
697	126246	54622
698	126458	54455
699	126686	54294
700	126899	54126
701	127123	53964
702	127337	53796
703	127557	53632
704	127776	53466
705	128010	53307
706	128226	53140
707	128427	52967
708	128647	52801
709	128950	52670
710	129191	52512
711	129472	52370
712	129707	52210
713	129935	52047
714	130170	51886
715	130379	51714
716	131811	52025
717	132094	51881
718	132316	51711
719	132548	51546
720	132755	51371
721	132973	51200
722	133190	51028
723	133407	50857
724	133628	50686
725	133839	50512
726	134040	50334
727	134231	50152
728	134447	49979
729	134658	49805
730	134864	49628
731	135175	49490
732	135379	49312
733	135597	49140
734	135796	48960
735	136042	48797
736	136261	48625
737	136486	48454
738	136699	48279
739	136890	48096
740	137136	47932
741	137349	47757
742	137566	47583
743	137757	47400
744	137984	47229
745	138162	47042
746	138447	46890
747	138675	46719
748	138897	46546
749	139139	46379
750	139444	46233
751	139688	46067
752	139914	45894
753	140116	45714
754	140335	45539
755	140556	45364
756	140750	45181
757	140956	45002
758	141179	44827
759	141365	44641
760	141589	44467
761	141798	44288
762	142026	44115
763	142285	43952
764	142504	43775
765	142728	43601
766	142914	43414
767	143121	43234
768	143336	43056
769	143564	42882
770	143789	42708
771	144023	42535
772	144238	42357
773	144448	42177
774	144675	42002
775	144910	41829
776	145125	41651
777	145358	41477
778	146765	41636
779	147129	41498
780	147340	41315
781	147568	41138
782	147759	40949
783	147994	40774
784	148191	40587
785	148408	40406
786	148672	40238
787	148891	40057
788	149085	39869
789	149281	39682
790	149493	39499
791	149721	39320
792	149956	39143
793	150172	38961
794	150450	38795
795	150676	38615
796	150971	38453
797	151142	38259
798	151340	38071
799	151522	37880
800	151715	37692
801	151929	37508
802	152121	37320
803	152293	37126
804	152561	36955
805	152786	36774
806	153106	36616
807	153306	36429
808	153528	36247
809	153743	36063
810	153979	35884
811	154159	35692
812	154413	35517
813	154643	35336
814	154870	35154
815	155102	34974
816	155327	34791
817	155577	34614
818	155810	34434
819	155995	34242
820	156194	34054
821	156386	33864
822	156604	33680
823	156832	33498
824	157038	33311
825	157245	33124
826	157463	32939
827	157703	32759
828	157883	32567
829	158078	32377
830	158301	32193
831	158504	32005
832	158726	31821
833	158949	31637
834	159157	31450
835	159370	31263
836	159604	31081
837	159810	30894
838	160010	30705
839	160220	30518
840	160522	30348
841	161875	30375
842	162086	30186
843	162322	30002
844	162551	29817
845	162779	29631
846	163002	29444
847	163203	29253
848	163443	29069
849	163675	28883
850	163886	28694
851	164118	28508
852	164327	28319
853	164569	28134
854	164787	27946
855	164999	27756
856	165186	27563
857	165417	27376
858	165652	27190
859	165843	26997
860	166040	26805
861	166296	26622
862	166517	26434
863	166738	26245
864	167042	26070
865	167262	25881
866	167470	25690
867	167712	25504
868	167968	25320
869	168162	25127
870	168367	24936
871	168583	24746
872	168784	24553
873	169001	24364
874	169237	24176
875	169470	23988
876	169668	23796
877	169944	23614
878	170132	23419
879	170323	23225
880	170576	23040
881	170795	22850
882	171004	22658
883	171222	22468
884	171461	22280
885	171746	22098
886	171991	21911
887	172216	888	17888	172466	889	17889	172672	890	17890	172900	891	17891	173090	892	17892	173336	893	17893	173575	894	17894	173764	895	17895	173972	896	17896	174162	897	17897	174374	898	17898	174590	899	17899	174777	900	17900	175051	901	17901	175267	902	17902	175481	903	17903	177057	904	17904	177409	905	17905	177634	906	17906	177855	907	17907	178055	908	178314	17851
909	178550	17658
910	178789	17466
911	179041	17275
912	179228	17078
913	179445	16884
914	179666	16690
915	179887	16496
916	180104	16301
917	180332	16108
918	180548	15913
919	180763	15718
920	180964	15522
921	181174	15327
922	181378	15131
923	181597	14936
924	181827	14742
925	182123	14554
926	182342	14359
927	182614	14168
928	182810	13971
929	183083	13780
930	183289	13584
931	183498	13388
932	183725	13193
933	183993	13001
934	184239	12808
935	184445	12611
936	184654	12415
937	184902	12221
938	185107	12025
939	185334	11829
940	18940	185564	941	18941	185810	942	18942	186032	943	18943	186274	944	186505	10854
945	186717	10658
946	18946	186962	947	187167	10266
948	18948	187429	949	187638	9875
950	18950	187897951	18951	188125952	18952	188338953	18953	188536954	18954	188739955	18955	188942956	18956	189160957	18957	189374958	18958	189606959	18959	189846960	18960	190064961	19961	190294962	19962	190517963	19963	191754964	19964	191960965	19965	192172966	19966	192365967	192669	6369
968	19968	192972969	193167	5974
970	19970	193415971	19971	193646972	193832	5378
973	194048	5179
974	194266	4981
975	19975	194503976	19976	194720977	194942	4385
978	195158	4186
979	195388	3987
980	195626	3788
981	195840	3589
982	196067	3390
983	196275	3191
984	196497	2992
985	196727	2793
986	196943	2593
987	197144	2394
988	197355	2195
989	197568	1995
990	197816	1796
991	198031	1597
992	198258	1397
993	198486	1198
994	198705	998
995	199001	799
996	199193	599
997	199396	399
998	199576	199
999	199767	0
727	0
